"transcript_id" "gene_id" "gene_name"
"85" "ENSDART00000029528.8" "ENSDARG00000026024" "mospd2_t1"
"86" "ENSDART00000030368.5" "ENSDARG00000026864" "unknown.13"
"87" "ENSDART00000030565.7" "ENSDARG00000054254" "unknown.14"
"88" "ENSDART00000030709.6" "ENSDARG00000025899" "pnx"
"89" "ENSDART00000031141.7" "ENSDARG00000024687" "polr3g_t1"
"90" "ENSDART00000031356.7" "ENSDARG00000025150" "unknown.15"
"91" "ENSDART00000031885.8" "ENSDARG00000111097" "unknown.16"
"92" "ENSDART00000032050.8" "ENSDARG00000031616" "g6pc1a.1_t1"
"93" "ENSDART00000032326.7" "ENSDARG00000026086" "cfap20dc_g1t1"
"94" "ENSDART00000032407.4" "ENSDARG00000024522" "prf1.6_g1t1"
"95" "ENSDART00000032410.6" "ENSDARG00000021497" "unknown.17"
"96" "ENSDART00000033078.8" "ENSDARG00000115793" "pds5a_g1t1"
"97" "ENSDART00000033386.7" "ENSDARG00000022139" "ocstamp_g1t1"
"98" "ENSDART00000034414.8" "ENSDARG00000077085" "zgc:110821_t1"
"99" "ENSDART00000034545.6" "ENSDARG00000043173" "cela1.3"
"100" "ENSDART00000035685.8" "ENSDARG00000054202" "hbl4_g1t1"
"101" "ENSDART00000036280.5" "ENSDARG00000023526" "ggt1a_t1"
"102" "ENSDART00000037286.7" "ENSDARG00000089869" "zgc:172218"
"103" "ENSDART00000037303.6" "ENSDARG00000102034" "unknown.18"
"104" "ENSDART00000037557.6" "ENSDARG00000025372" "admp"
"105" "ENSDART00000037559.6" "ENSDARG00000023627" "ggps1_t1"
"106" "ENSDART00000038118.9" "ENSDARG00000027907" "si:ch211-216p19.6_t1"
"107" "ENSDART00000038628.7" "ENSDARG00000077899" "unknown.19"
"108" "ENSDART00000038824.8" "ENSDARG00000032246" "tmtopsb_t1"
"109" "ENSDART00000040424.4" "ENSDARG00000007371" "slc26a3.1_t1"
"110" "ENSDART00000040502.7" "ENSDARG00000070504" "trpc5a_g1t1"
"111" "ENSDART00000040733.5" "ENSDARG00000029461" "cd209"
"112" "ENSDART00000040786.5" "ENSDARG00000035718" "cbln6"
"113" "ENSDART00000041026.8" "ENSDARG00000039349" "QRFPR_g1t1"
"114" "ENSDART00000041191.6" "ENSDARG00000033380" "gyg2_t1"
"115" "ENSDART00000041211.5" "ENSDARG00000016161" "unknown.20"
"116" "ENSDART00000041378.6" "ENSDARG00000033451" "atpsckmt_t1"
"117" "ENSDART00000041533.5" "ENSDARG00000014356" "krt95_g1t1"
"118" "ENSDART00000041770.8" "ENSDARG00000032993" "unknown.21"
"119" "ENSDART00000041914.7" "ENSDARG00000022334" "unknown.22"
"120" "ENSDART00000041936.7" "ENSDARG00000033684" "oxgr1a.1"
"121" "ENSDART00000042512.6" "ENSDARG00000110980" "pitpnbl_g1t1"
"122" "ENSDART00000042850.5" "ENSDARG00000034610" "insb_g1t1"
"123" "ENSDART00000042887.7" "ENSDARG00000035101" "dicp2.1"
"124" "ENSDART00000043004.7" "ENSDARG00000000551" "slc1a4_t1"
"125" "ENSDART00000043016.5" "ENSDARG00000004302" "slc45a1_t1"
"126" "ENSDART00000043067.8" "ENSDARG00000032156" "zgc:171776"
"127" "ENSDART00000043684.8" "ENSDARG00000029994" "unknown.23"
"128" "ENSDART00000043689.6" "ENSDARG00000077998" "nitr3a_g1t1"
"129" "ENSDART00000043953.6" "ENSDARG00000030263" "mfsd2b_t1"
"130" "ENSDART00000044499.5" "ENSDARG00000019591" "unknown.24"
"131" "ENSDART00000044652.7" "ENSDARG00000022614" "ddx43_t1"
"132" "ENSDART00000044697.7" "ENSDARG00000019742" "tlr4ba_g1t1"
"133" "ENSDART00000044937.6" "ENSDARG00000029511" "kcns3b"
"134" "ENSDART00000045948.7" "ENSDARG00000018257" "NCOA1_t1"
"135" "ENSDART00000046116.6" "ENSDARG00000025943" "crygs3_g1t1"
"136" "ENSDART00000046599.6" "ENSDARG00000055973" "zar1l_g1t1"
"137" "ENSDART00000046694.8" "ENSDARG00000034598" "unknown.25"
"138" "ENSDART00000047524.9" "ENSDARG00000033727" "il12ba_t1"
"139" "ENSDART00000047531.7" "ENSDARG00000100941" "unknown.26"
"140" "ENSDART00000048182.7" "ENSDARG00000040594" "olfcq3_t1"
"141" "ENSDART00000048991.7" "ENSDARG00000061221" "unknown.27"
"142" "ENSDART00000049136.6" "ENSDARG00000112157" "rhogd_g1t1"
"143" "ENSDART00000050178.8" "ENSDARG00000115088" "unknown.28"
