"transcript_id" "gene_id" "gene_name"
"5564" "ENSDART00000098705.5" "ENSDARG00000068290" "si:dkey-286h2.3_g2t1"
"5565" "ENSDART00000098729.5" "ENSDARG00000068303" "zgc:171509"
"5566" "ENSDART00000098912.5" "ENSDARG00000068400" "znf131_g1t1"
"5567" "ENSDART00000098975.5" "ENSDARG00000042452" "p2rx4b"
"5568" "ENSDART00000099016.5" "ENSDARG00000068453" "unknown.2512"
"5569" "ENSDART00000099031.5" "ENSDARG00000068465" "zgc:136254"
"5570" "ENSDART00000099139.4" "ENSDARG00000068520" "olfcq1_g1t1"
"5571" "ENSDART00000099157.5" "ENSDARG00000061371" "cdh18a_t1"
"5572" "ENSDART00000099270.5" "ENSDARG00000068593" "unknown.2513"
"5573" "ENSDART00000099281.4" "ENSDARG00000056330" "mhc2dbb"
"5574" "ENSDART00000099302.4" "ENSDARG00000026704" "ftr72_t2"
"5575" "ENSDART00000099359.3" "ENSDARG00000068638" "lpar5b"
"5576" "ENSDART00000099360.5" "ENSDARG00000086352" "zp2.1"
"5577" "ENSDART00000099420.4" "ENSDARG00000091143" "or80a10_g1t1"
"5578" "ENSDART00000099446.5" "ENSDARG00000068691" "kctd4_g1t1"
"5579" "ENSDART00000099501.5" "ENSDARG00000068726" "MASP1_t1"
"5580" "ENSDART00000099520.5" "ENSDARG00000043238" "unknown.2514"
"5581" "ENSDART00000099538.5" "ENSDARG00000103229" "unknown.2515"
"5582" "ENSDART00000099732.5" "ENSDARG00000068858" "il2rga_g1t1"
"5583" "ENSDART00000099761.6" "ENSDARG00000068874" "PTCHD3_g1t1"
"5584" "ENSDART00000099859.4" "ENSDARG00000112840" "unknown.2516"
"5585" "ENSDART00000099899.5" "ENSDARG00000054898" "ms4a17a.16"
"5586" "ENSDART00000099916.5" "ENSDARG00000025504" "gucy2f_t1"
"5587" "ENSDART00000099993.5" "ENSDARG00000096773" "unknown.2517"
"5588" "ENSDART00000100042.5" "ENSDARG00000069009" "si:ch211-147a11.3_t1"
"5589" "ENSDART00000100068.5" "ENSDARG00000091791" "or42c1"
"5590" "ENSDART00000100093.5" "ENSDARG00000108953" "unknown.2518"
"5591" "ENSDART00000100126.5" "ENSDARG00000069037" "akip1_g1t1"
"5592" "ENSDART00000100163.5" "ENSDARG00000069046" "unknown.2519"
"5593" "ENSDART00000100252.4" "ENSDARG00000101388" "unknown.2520"
"5594" "ENSDART00000100278.6" "ENSDARG00000037393" "slc43a1a_t1"
"5595" "ENSDART00000100342.5" "ENSDARG00000000516" "ankar_t1"
"5596" "ENSDART00000100546.6" "ENSDARG00000069216" "c6ast1_t2"
"5597" "ENSDART00000100607.6" "ENSDARG00000023584" "cdc7_t1"
"5598" "ENSDART00000100646.3" "ENSDARG00000114909" "stk33_g1t1"
"5599" "ENSDART00000100693.6" "ENSDARG00000069292" "unknown.2521"
"5600" "ENSDART00000100714.5" "ENSDARG00000069292" "unknown.2522"
"5601" "ENSDART00000100726.5" "ENSDARG00000069294" "insl5b"
"5602" "ENSDART00000100756.5" "ENSDARG00000069314" "tmem199_g1t1"
"5603" "ENSDART00000100772.5" "ENSDARG00000061120" "slc43a2b_g1t2"
"5604" "ENSDART00000100783.3" "ENSDARG00000069323" "unknown.2523"
"5605" "ENSDART00000100784.5" "ENSDARG00000090730" "cfbl_g1t1"
"5606" "ENSDART00000100845.5" "ENSDARG00000058414" "bglap"
"5607" "ENSDART00000100876.4" "ENSDARG00000069362" "unknown.2524"
"5608" "ENSDART00000100877.5" "ENSDARG00000069363" "C13H10orf53"
"5609" "ENSDART00000100918.6" "ENSDARG00000038321" "zgc:172053"
"5610" "ENSDART00000100967.6" "ENSDARG00000069401" "si:dkeyp-114g9.1"
"5611" "ENSDART00000101007.4" "ENSDARG00000069411" "gja11"
"5612" "ENSDART00000101049.5" "ENSDARG00000042548" "tpd52l1_t1"
"5613" "ENSDART00000101123.5" "ENSDARG00000069459" "unknown.2525"
"5614" "ENSDART00000101198.5" "ENSDARG00000007175" "recql_t1"
"5615" "ENSDART00000101228.5" "ENSDARG00000112545" "unknown.2526"
"5616" "ENSDART00000101231.6" "ENSDARG00000078060" "syt7b_t1"
"5617" "ENSDART00000101250.4" "ENSDARG00000114258" "si:dkey-30c15.13_t1"
"5618" "ENSDART00000101269.5" "ENSDARG00000032324" "epb41l5_g1t1"
"5619" "ENSDART00000101619.3" "ENSDARG00000004336" "exoc4_t1"
"5620" "ENSDART00000101629.5" "ENSDARG00000069703" "efhb"
"5621" "ENSDART00000101724.5" "ENSDARG00000069744" "mos"
"5622" "ENSDART00000101794.4" "ENSDARG00000115265" "zgc:174719"
"5623" "ENSDART00000101839.5" "ENSDARG00000069787" "unknown.2527"
"5624" "ENSDART00000101938.4" "ENSDARG00000115234" "crygm2b"
"5625" "ENSDART00000101968.5" "ENSDARG00000115144" "nitr1b"
"5626" "ENSDART00000102003.5" "ENSDARG00000015068" "unknown.2528"
"5627" "ENSDART00000102021.5" "ENSDARG00000069866" "sox1a_g1t1"
"5628" "ENSDART00000102133.5" "ENSDARG00000092052" "gstk4_t2"
"5629" "ENSDART00000102296.5" "ENSDARG00000095070" "unknown.2529"
"5630" "ENSDART00000102311.2" "ENSDARG00000057054" "lrit3b"
"5631" "ENSDART00000102314.5" "ENSDARG00000069984" "unknown.2530"
"5632" "ENSDART00000102315.5" "ENSDARG00000096299" "unknown.2531"
"5633" "ENSDART00000102386.4" "ENSDARG00000070011" "unknown.2532"
"5634" "ENSDART00000102393.3" "ENSDARG00000037874" "unknown.2533"
"5635" "ENSDART00000102433.6" "ENSDARG00000012820" "nop56_t1"
"5636" "ENSDART00000102441.5" "ENSDARG00000077405" "unknown.2534"
"5637" "ENSDART00000102501.5" "ENSDARG00000070055" "arfip1_g1t1"
"5638" "ENSDART00000102509.5" "ENSDARG00000070056" "ADORA1"
"5639" "ENSDART00000102540.4" "ENSDARG00000009693" "llgl1_t1"
"5640" "ENSDART00000102543.5" "ENSDARG00000094973" "wnt16_t1"
"5641" "ENSDART00000102548.3" "ENSDARG00000070073" "unknown.2535"
"5642" "ENSDART00000102646.4" "ENSDARG00000070121" "rhoh"
"5643" "ENSDART00000102665.3" "ENSDARG00000070132" "aste1a"
"5644" "ENSDART00000102784.5" "ENSDARG00000070174" "PLEKHH3_t1"
"5645" "ENSDART00000102798.5" "ENSDARG00000070178" "zp3d.2"
"5646" "ENSDART00000102846.5" "ENSDARG00000023036" "unknown.2536"
"5647" "ENSDART00000102904.5" "ENSDARG00000008075" "illr4"
"5648" "ENSDART00000102949.4" "ENSDARG00000078167" "unknown.2537"
"5649" "ENSDART00000103020.3" "ENSDARG00000113529" "eda_g1t1"
"5650" "ENSDART00000103135.4" "ENSDARG00000070341" "or90a1"
"5651" "ENSDART00000103138.3" "ENSDARG00000070344" "or90b2"
"5652" "ENSDART00000103228.5" "ENSDARG00000043873" "arid4a_t2"
"5653" "ENSDART00000103265.5" "ENSDARG00000070401" "mala.1"
"5654" "ENSDART00000103278.4" "ENSDARG00000078551" "zgc:171242"
"5655" "ENSDART00000103316.5" "ENSDARG00000016691" "cd9b_t2"
"5656" "ENSDART00000103388.5" "ENSDARG00000070709" "unknown.2538"
"5657" "ENSDART00000103548.5" "ENSDARG00000067992" "unknown.2539"
"5658" "ENSDART00000103572.2" "ENSDARG00000060062" "unknown.2540"
"5659" "ENSDART00000103588.5" "ENSDARG00000021688" "mxa"
"5660" "ENSDART00000103649.5" "ENSDARG00000070541" "unknown.2541"
"5661" "ENSDART00000103784.6" "ENSDARG00000070578" "edn2"
"5662" "ENSDART00000103879.4" "ENSDARG00000070618" "tatdn2"
"5663" "ENSDART00000103971.4" "ENSDARG00000073950" "unknown.2542"
"5664" "ENSDART00000103983.5" "ENSDARG00000070672" "slc2a9l1_t2"
"5665" "ENSDART00000104032.3" "ENSDARG00000017188" "zpax2_t2"
"5666" "ENSDART00000104176.3" "ENSDARG00000070755" "unknown.2543"
"5667" "ENSDART00000104252.5" "ENSDARG00000070795" "eaf1_g1t1"
"5668" "ENSDART00000104318.5" "ENSDARG00000070831" "RFTN1_t1"
"5669" "ENSDART00000104340.6" "ENSDARG00000008019" "mxg_t2"
"5670" "ENSDART00000104422.5" "ENSDARG00000040713" "rbbp9_t1"
"5671" "ENSDART00000104437.6" "ENSDARG00000070892" "si:ch211-262h13.5"
"5672" "ENSDART00000104545.5" "ENSDARG00000029219" "AVPR2_t1"
"5673" "ENSDART00000104549.4" "ENSDARG00000070932" "hcrt"
"5674" "ENSDART00000104622.5" "ENSDARG00000070960" "unknown.2544"
"5675" "ENSDART00000104623.7" "ENSDARG00000070964" "si:rp71-15k1.1_t2"
"5676" "ENSDART00000104701.5" "ENSDARG00000029232" "unknown.2545"
"5677" "ENSDART00000104705.5" "ENSDARG00000060953" "unknown.2546"
"5678" "ENSDART00000104715.4" "ENSDARG00000071007" "pcgf5a_g1t1"
"5679" "ENSDART00000104728.5" "ENSDARG00000054418" "ssuh2.2_g2t1"
"5680" "ENSDART00000104732.4" "ENSDARG00000071013" "arl6ip6_t1"
"5681" "ENSDART00000104838.5" "ENSDARG00000001303" "psmb8a_t2"
"5682" "ENSDART00000104880.5" "ENSDARG00000113229" "si:dkeyp-34c12.1_g2t1"
"5683" "ENSDART00000104921.4" "ENSDARG00000077697" "unknown.2547"
"5684" "ENSDART00000104969.5" "ENSDARG00000071143" "unknown.2548"
"5685" "ENSDART00000104985.6" "ENSDARG00000004843" "foxp1a_t1"
"5686" "ENSDART00000105352.3" "ENSDARG00000071306" "gip"
"5687" "ENSDART00000105394.3" "ENSDARG00000040261" "runx2a_t2"
"5688" "ENSDART00000105415.5" "ENSDARG00000014623" "unknown.2549"
"5689" "ENSDART00000105435.5" "ENSDARG00000071341" "unknown.2550"
"5690" "ENSDART00000105454.5" "ENSDARG00000088643" "unknown.2551"
"5691" "ENSDART00000105506.4" "ENSDARG00000113392" "unknown.2552"
"5692" "ENSDART00000105580.5" "ENSDARG00000114974" "ap3d1_g1t1"
"5693" "ENSDART00000105666.5" "ENSDARG00000071457" "crp6"
"5694" "ENSDART00000105749.5" "ENSDARG00000071491" "nrros_g1t1"
"5695" "ENSDART00000105846.4" "ENSDARG00000071541" "unknown.2553"
"5696" "ENSDART00000105864.4" "ENSDARG00000071553" "zgc:171500"
"5697" "ENSDART00000105944.5" "ENSDARG00000071589" "unknown.2554"
"5698" "ENSDART00000106082.6" "ENSDARG00000043175" "cela1.1"
"5699" "ENSDART00000106118.6" "ENSDARG00000071657" "si:dkey-19a16.4"
"5700" "ENSDART00000106173.4" "ENSDARG00000092732" "unknown.2555"
"5701" "ENSDART00000106212.5" "ENSDARG00000071697" "zgc:66433_t1"
"5702" "ENSDART00000106272.4" "ENSDARG00000071727" "eef1a1l3"
"5703" "ENSDART00000106339.5" "ENSDARG00000089607" "unknown.2556"
"5704" "ENSDART00000106627.7" "ENSDARG00000069957" "zgc:162936_t1"
"5705" "ENSDART00000106671.5" "ENSDARG00000071879" "unknown.2557"
"5706" "ENSDART00000108511.4" "ENSDARG00000099910" "unknown.2558"
"5707" "ENSDART00000108556.5" "ENSDARG00000076391" "npm2a"
"5708" "ENSDART00000108650.3" "ENSDARG00000079294" "or70b1"
"5709" "ENSDART00000108744.3" "ENSDARG00000079661" "unknown.2559"
"5710" "ENSDART00000108753.3" "ENSDARG00000103961" "poln_g2t1"
"5711" "ENSDART00000108821.4" "ENSDARG00000076277" "unknown.2560"
"5712" "ENSDART00000108979.5" "ENSDARG00000078428" "unknown.2561"
"5713" "ENSDART00000109020.4" "ENSDARG00000054160" "zgc:113625_t3"
"5714" "ENSDART00000109033.4" "ENSDARG00000100833" "ctslb.4"
"5715" "ENSDART00000109041.4" "ENSDARG00000079393" "unknown.2562"
"5716" "ENSDART00000109052.4" "ENSDARG00000078938" "unknown.2563"
"5717" "ENSDART00000109129.3" "ENSDARG00000076269" "zgc:172131"
"5718" "ENSDART00000109141.4" "ENSDARG00000070495" "FRMD7_t1"
"5719" "ENSDART00000109166.4" "ENSDARG00000076934" "DYNC2I1_t1"
"5720" "ENSDART00000109171.5" "ENSDARG00000077909" "RCE1_g1t1"
"5721" "ENSDART00000109189.4" "ENSDARG00000075909" "slc35f3a_t3"
"5722" "ENSDART00000109190.4" "ENSDARG00000015228" "ero1a_t1"
"5723" "ENSDART00000109228.4" "ENSDARG00000075533" "zbtb24_g1t1"
"5724" "ENSDART00000109245.4" "ENSDARG00000039563" "loxl3b_t1"
"5725" "ENSDART00000109294.4" "ENSDARG00000079488" "zgc:195282_t2"
"5726" "ENSDART00000109316.3" "ENSDARG00000075482" "zgc:173587"
"5727" "ENSDART00000109321.4" "ENSDARG00000003751" "lats1_t1"
"5728" "ENSDART00000109373.4" "ENSDARG00000074949" "C1QTNF7"
"5729" "ENSDART00000109452.5" "ENSDARG00000062968" "sbf1_g1t1"
"5730" "ENSDART00000109481.4" "ENSDARG00000031731" "unknown.2564"
"5731" "ENSDART00000109495.4" "ENSDARG00000077537" "nudt19_t1"
"5732" "ENSDART00000109512.4" "ENSDARG00000077809" "il13"
"5733" "ENSDART00000109530.4" "ENSDARG00000068286" "slc7a4_t1"
"5734" "ENSDART00000109537.4" "ENSDARG00000075539" "unknown.2565"
"5735" "ENSDART00000109559.4" "ENSDARG00000074732" "unknown.2566"
"5736" "ENSDART00000109599.4" "ENSDARG00000060308" "urb1_t1"
"5737" "ENSDART00000109609.4" "ENSDARG00000073963" "unknown.2567"
"5738" "ENSDART00000109618.4" "ENSDARG00000078178" "art4"
"5739" "ENSDART00000109673.4" "ENSDARG00000074371" "TIRAP"
"5740" "ENSDART00000109702.4" "ENSDARG00000075803" "unknown.2568"
"5741" "ENSDART00000109714.4" "ENSDARG00000076499" "USP53_g1t1"
"5742" "ENSDART00000109720.3" "ENSDARG00000076766" "unknown.2569"
"5743" "ENSDART00000109751.4" "ENSDARG00000089039" "zgc:173585"
"5744" "ENSDART00000109816.4" "ENSDARG00000077962" "unknown.2570"
"5745" "ENSDART00000109848.5" "ENSDARG00000077492" "ATP8A2_t2"
"5746" "ENSDART00000109893.4" "ENSDARG00000093803" "unknown.2571"
"5747" "ENSDART00000109940.4" "ENSDARG00000077427" "GPR20"
"5748" "ENSDART00000109975.3" "ENSDARG00000071456" "crp7"
"5749" "ENSDART00000109999.5" "ENSDARG00000073812" "or91a3"
"5750" "ENSDART00000110180.4" "ENSDARG00000078962" "DUOXA2"
"5751" "ENSDART00000110202.4" "ENSDARG00000079713" "ccl27b"
"5752" "ENSDART00000110241.4" "ENSDARG00000074480" "CNKSR2_g2t1"
"5753" "ENSDART00000110272.4" "ENSDARG00000075905" "unknown.2572"
"5754" "ENSDART00000110305.4" "ENSDARG00000076609" "si:ch211-199g17.9_t2"
"5755" "ENSDART00000110415.4" "ENSDARG00000078119" "unknown.2573"
"5756" "ENSDART00000110420.5" "ENSDARG00000077211" "unknown.2574"
"5757" "ENSDART00000110602.4" "ENSDARG00000075737" "zgc:165518_t1"
"5758" "ENSDART00000110696.3" "ENSDARG00000004953" "mxb_t2"
"5759" "ENSDART00000110773.5" "ENSDARG00000075909" "slc35f3a_t4"
"5760" "ENSDART00000110789.4" "ENSDARG00000078964" "ESYT2_g1t1"
"5761" "ENSDART00000110813.4" "ENSDARG00000101249" "unknown.2575"
"5762" "ENSDART00000110827.3" "ENSDARG00000091062" "unknown.2576"
"5763" "ENSDART00000111022.3" "ENSDARG00000009123" "sele_t1"
"5764" "ENSDART00000111053.4" "ENSDARG00000100259" "unknown.2577"
"5765" "ENSDART00000111066.3" "ENSDARG00000055163" "epoa_t2"
"5766" "ENSDART00000111083.3" "ENSDARG00000076252" "unknown.2578"
"5767" "ENSDART00000111165.4" "ENSDARG00000079163" "BEST2_t3"
"5768" "ENSDART00000111174.4" "ENSDARG00000075626" "zgc:172090"
"5769" "ENSDART00000111240.5" "ENSDARG00000079105" "si:busm1-266f07.1"
"5770" "ENSDART00000111248.4" "ENSDARG00000077907" "unknown.2579"
"5771" "ENSDART00000111260.4" "ENSDARG00000074442" "alx4b_t1"
"5772" "ENSDART00000111266.5" "ENSDARG00000078644" "spmap2_t2"
"5773" "ENSDART00000111289.4" "ENSDARG00000075829" "kiss1"
"5774" "ENSDART00000111305.5" "ENSDARG00000115041" "unknown.2580"
"5775" "ENSDART00000111309.4" "ENSDARG00000077911" "TREH_t3"
"5776" "ENSDART00000111513.4" "ENSDARG00000079869" "unknown.2581"
"5777" "ENSDART00000111518.3" "ENSDARG00000075821" "PLXNB1_g1t1"
"5778" "ENSDART00000111605.4" "ENSDARG00000074004" "STAC_t1"
"5779" "ENSDART00000111624.5" "ENSDARG00000077741" "unknown.2582"
"5780" "ENSDART00000111674.5" "ENSDARG00000079399" "F2RL3"
"5781" "ENSDART00000111706.3" "ENSDARG00000110841" "unknown.2583"
"5782" "ENSDART00000111817.4" "ENSDARG00000020863" "unknown.2584"
"5783" "ENSDART00000111824.4" "ENSDARG00000077959" "unknown.2585"
"5784" "ENSDART00000111829.4" "ENSDARG00000075745" "unknown.2586"
"5785" "ENSDART00000111896.3" "ENSDARG00000074983" "jac9"
"5786" "ENSDART00000111956.4" "ENSDARG00000076689" "unknown.2587"
"5787" "ENSDART00000111981.4" "ENSDARG00000074524" "unknown.2588"
"5788" "ENSDART00000112039.3" "ENSDARG00000078922" "unknown.2589"
"5789" "ENSDART00000112071.4" "ENSDARG00000076160" "unknown.2590"
"5790" "ENSDART00000112084.4" "ENSDARG00000076139" "unknown.2591"
"5791" "ENSDART00000112119.3" "ENSDARG00000045166" "bhlha15"
"5792" "ENSDART00000112127.3" "ENSDARG00000077918" "DNASE2B_t1"
"5793" "ENSDART00000112211.5" "ENSDARG00000078547" "si:ch211-264f5.2"
"5794" "ENSDART00000112267.4" "ENSDARG00000078419" "filip1a_t1"
"5795" "ENSDART00000112294.3" "ENSDARG00000077836" "TTC22"
"5796" "ENSDART00000112424.4" "ENSDARG00000079199" "MEGF6_g1t1"
"5797" "ENSDART00000112451.4" "ENSDARG00000076092" "slc31a2_t1"
"5798" "ENSDART00000112492.2" "ENSDARG00000076388" "jac11"
"5799" "ENSDART00000112567.4" "ENSDARG00000053205" "ppfia4_t1"
"5800" "ENSDART00000112698.4" "ENSDARG00000078683" "RNF14_g1t1"
"5801" "ENSDART00000112699.4" "ENSDARG00000042139" "fpgt_t1"
"5802" "ENSDART00000112722.5" "ENSDARG00000076474" "org"
"5803" "ENSDART00000112744.4" "ENSDARG00000073860" "unknown.2592"
"5804" "ENSDART00000112757.5" "ENSDARG00000073709" "FAM149A_t1"
"5805" "ENSDART00000112778.4" "ENSDARG00000074302" "gpr183b"
"5806" "ENSDART00000112900.4" "ENSDARG00000078102" "PSD_t1"
"5807" "ENSDART00000113098.5" "ENSDARG00000097011" "hbaa1"
"5808" "ENSDART00000113140.4" "ENSDARG00000074310" "RBFOX3_g1t1"
"5809" "ENSDART00000113186.4" "ENSDARG00000110137" "si:dkey-240e12.6_t2"
"5810" "ENSDART00000113197.3" "ENSDARG00000073948" "prok1_g1t1"
"5811" "ENSDART00000113214.4" "ENSDARG00000079079" "unknown.2593"
"5812" "ENSDART00000113246.5" "ENSDARG00000079387" "si:ch211-102c2.4_t1"
"5813" "ENSDART00000113315.4" "ENSDARG00000074052" "herc56.4"
"5814" "ENSDART00000113344.3" "ENSDARG00000077985" "kiss2"
"5815" "ENSDART00000113443.4" "ENSDARG00000100716" "unknown.2594"
"5816" "ENSDART00000113470.4" "ENSDARG00000078995" "TEX11"
"5817" "ENSDART00000113492.3" "ENSDARG00000075307" "kcnq2a_t1"
"5818" "ENSDART00000113507.3" "ENSDARG00000021239" "apaf1_t1"
"5819" "ENSDART00000113517.3" "ENSDARG00000116005" "zgc:171446_t2"
"5820" "ENSDART00000113521.5" "ENSDARG00000074670" "MATK_t2"
"5821" "ENSDART00000113616.3" "ENSDARG00000074764" "unknown.2595"
"5822" "ENSDART00000113625.2" "ENSDARG00000093808" "unknown.2596"
"5823" "ENSDART00000113763.4" "ENSDARG00000097292" "unknown.2597"
"5824" "ENSDART00000113799.3" "ENSDARG00000068374" "si:ch211-132b12.7_t1"
"5825" "ENSDART00000113889.5" "ENSDARG00000075643" "ifi35_t1"
"5826" "ENSDART00000113909.5" "ENSDARG00000076015" "PLBD1_t1"
"5827" "ENSDART00000113924.4" "ENSDARG00000079670" "LRRC7_t1"
"5828" "ENSDART00000113926.5" "ENSDARG00000087243" "RAB7A_t1"
"5829" "ENSDART00000113936.5" "ENSDARG00000074663" "samd8_g1t1"
"5830" "ENSDART00000113945.4" "ENSDARG00000017983" "rsph14_t1"
"5831" "ENSDART00000114115.4" "ENSDARG00000116644" "endou_g2t1"
"5832" "ENSDART00000114162.4" "ENSDARG00000079412" "unknown.2598"
"5833" "ENSDART00000114167.4" "ENSDARG00000088923" "si:ch211-12h2.8"
"5834" "ENSDART00000114262.2" "ENSDARG00000016464" "cdc42bpab_t1"
"5835" "ENSDART00000114263.4" "ENSDARG00000079532" "zgc:194242"
"5836" "ENSDART00000114268.4" "ENSDARG00000113315" "unknown.2599"
"5837" "ENSDART00000114293.4" "ENSDARG00000076853" "unknown.2600"
"5838" "ENSDART00000114543.3" "ENSDARG00000077260" "si:dkey-28d5.13_t2"
"5839" "ENSDART00000114586.4" "ENSDARG00000091230" "unknown.2601"
"5840" "ENSDART00000114592.4" "ENSDARG00000074782" "unknown.2602"
"5841" "ENSDART00000114649.4" "ENSDARG00000109327" "znf1140_g1t1"
"5842" "ENSDART00000114699.4" "ENSDARG00000005392" "slc5a5_t1"
"5843" "ENSDART00000114742.4" "ENSDARG00000079126" "unknown.2603"
"5844" "ENSDART00000114762.3" "ENSDARG00000075113" "nanog"
"5845" "ENSDART00000114836.4" "ENSDARG00000077479" "MSH5_t1"
"5846" "ENSDART00000114866.4" "ENSDARG00000078425" "oat_t1"
"5847" "ENSDART00000114876.5" "ENSDARG00000063169" "ubn1_t1"
"5848" "ENSDART00000114899.4" "ENSDARG00000076183" "FRRS1_g1t2"
"5849" "ENSDART00000114980.3" "ENSDARG00000079364" "unknown.2604"
"5850" "ENSDART00000114982.4" "ENSDARG00000077540" "f2rl1.2_t1"
"5851" "ENSDART00000114998.4" "ENSDARG00000076958" "jac8"
"5852" "ENSDART00000115046.4" "ENSDARG00000054847" "XCR1_t2"
"5853" "ENSDART00000115062.5" "ENSDARG00000101720" "unknown.2605"
"5854" "ENSDART00000115111.4" "ENSDARG00000076050" "unknown.2606"
"5855" "ENSDART00000115154.4" "ENSDARG00000076727" "unknown.2607"
"5856" "ENSDART00000115157.4" "ENSDARG00000074289" "tuba4l_t2"
"5857" "ENSDART00000115158.2" "ENSDARG00000074950" "zgc:194114"
"5858" "ENSDART00000115283.4" "ENSDARG00000076586" "csf2rb_g1t2"
"5859" "ENSDART00000115313.4" "ENSDARG00000056917" "unknown.2608"
"5860" "ENSDART00000115354.4" "ENSDARG00000075151" "ifi27.7"
"5861" "ENSDART00000115386.4" "ENSDARG00000075970" "unknown.2609"
"5862" "ENSDART00000115398.3" "ENSDARG00000077120" "arid5a"
"5863" "ENSDART00000115408.5" "ENSDARG00000037503" "thoc2_t2"
"5864" "ENSDART00000121439.3" "ENSDARG00000002377" "mief2_t1"
"5865" "ENSDART00000121506.4" "ENSDARG00000012609" "hpxa"
"5866" "ENSDART00000121513.5" "ENSDARG00000069014" "unknown.2610"
"5867" "ENSDART00000121556.3" "ENSDARG00000087407" "unknown.2611"
"5868" "ENSDART00000121602.3" "ENSDARG00000088198" "unknown.2612"
"5869" "ENSDART00000121729.3" "ENSDARG00000014373" "ddx4_t1"
"5870" "ENSDART00000121804.3" "ENSDARG00000087788" "si:ch211-22k7.9_t1"
"5871" "ENSDART00000121861.3" "ENSDARG00000028306" "prph_t1"
"5872" "ENSDART00000121902.3" "ENSDARG00000068190" "unknown.2613"
"5873" "ENSDART00000121915.3" "ENSDARG00000087645" "unknown.2614"
"5874" "ENSDART00000121943.3" "ENSDARG00000054937" "badb_t1"
"5875" "ENSDART00000121963.2" "ENSDARG00000111165" "si:dkey-261m9.17"
"5876" "ENSDART00000121965.3" "ENSDARG00000010312" "cp_t1"
"5877" "ENSDART00000122070.3" "ENSDARG00000090480" "unknown.2615"
"5878" "ENSDART00000122099.3" "ENSDARG00000069790" "dynll2a_g1t1"
"5879" "ENSDART00000122128.3" "ENSDARG00000040192" "nenf_t1"
"5880" "ENSDART00000122153.3" "ENSDARG00000089636" "unknown.2616"
"5881" "ENSDART00000122206.3" "ENSDARG00000067985" "unknown.2617"
"5882" "ENSDART00000122209.4" "ENSDARG00000071018" "ptena_g1t1"
"5883" "ENSDART00000122240.3" "ENSDARG00000089434" "etv7"
"5884" "ENSDART00000122253.3" "ENSDARG00000074906" "znf831_t1"
"5885" "ENSDART00000122286.3" "ENSDARG00000088160" "unknown.2618"
"5886" "ENSDART00000122348.4" "ENSDARG00000027419" "gad1b_t1"
"5887" "ENSDART00000122371.3" "ENSDARG00000089552" "si:ch211-93n23.7"
"5888" "ENSDART00000122387.3" "ENSDARG00000091073" "ALKAL2_t1"
"5889" "ENSDART00000122414.3" "ENSDARG00000042698" "unknown.2619"
"5890" "ENSDART00000122435.3" "ENSDARG00000087012" "unknown.2620"
"5891" "ENSDART00000122508.2" "ENSDARG00000087148" "unknown.2621"
"5892" "ENSDART00000122536.3" "ENSDARG00000090386" "polr1g_t1"
"5893" "ENSDART00000122568.4" "ENSDARG00000037758" "tlr2_g1t2"
"5894" "ENSDART00000122617.4" "ENSDARG00000088251" "lgals17_t2"
"5895" "ENSDART00000122730.4" "ENSDARG00000042122" "acot11b_t1"
"5896" "ENSDART00000122810.4" "ENSDARG00000005454" "tacc3_t1"
"5897" "ENSDART00000122927.3" "ENSDARG00000089110" "unknown.2622"
"5898" "ENSDART00000122957.2" "ENSDARG00000008219" "crygm4"
"5899" "ENSDART00000122964.3" "ENSDARG00000090839" "zmp:0000001006"
"5900" "ENSDART00000123007.3" "ENSDARG00000087392" "unknown.2623"
"5901" "ENSDART00000123016.3" "ENSDARG00000088625" "unknown.2624"
"5902" "ENSDART00000123035.3" "ENSDARG00000103395" "unknown.2625"
"5903" "ENSDART00000123040.4" "ENSDARG00000012801" "PFKP_g1t1"
"5904" "ENSDART00000123094.3" "ENSDARG00000007494" "st3gal8_t1"
"5905" "ENSDART00000123227.3" "ENSDARG00000089112" "unknown.2626"
"5906" "ENSDART00000123259.3" "ENSDARG00000089959" "unknown.2627"
"5907" "ENSDART00000123281.3" "ENSDARG00000114783" "unknown.2628"
"5908" "ENSDART00000123315.3" "ENSDARG00000086055" "foxl3"
"5909" "ENSDART00000123368.4" "ENSDARG00000020080" "ek1_t1"
"5910" "ENSDART00000123408.3" "ENSDARG00000112027" "unknown.2629"
"5911" "ENSDART00000123448.3" "ENSDARG00000014624" "si:dkeyp-94g1.1"
"5912" "ENSDART00000123476.3" "ENSDARG00000069980" "lman1_t1"
"5913" "ENSDART00000123512.3" "ENSDARG00000076389" "unknown.2630"
"5914" "ENSDART00000123524.5" "ENSDARG00000095132" "unknown.2631"
"5915" "ENSDART00000123571.4" "ENSDARG00000091172" "or42b1"
"5916" "ENSDART00000123623.3" "ENSDARG00000090041" "F2R_g3t1"
"5917" "ENSDART00000123717.3" "ENSDARG00000115550" "unknown.2632"
"5918" "ENSDART00000123737.3" "ENSDARG00000089248" "AMZ2"
"5919" "ENSDART00000124036.3" "ENSDARG00000019742" "tlr4ba_g1t2"
"5920" "ENSDART00000124085.3" "ENSDARG00000088078" "unknown.2633"
"5921" "ENSDART00000124172.3" "ENSDARG00000105124" "unknown.2634"
"5922" "ENSDART00000124319.3" "ENSDARG00000087910" "unknown.2635"
