"transcript_id"	"gene_id"	"gene_name"	"TF"
"ENSDART00000141160.3"	"ENSDARG00000077691"	"slc13a5a_t1"	FALSE
"ENSDART00000141340.3"	"ENSDARG00000094265"	"si:dkey-183n20.15"	FALSE
"ENSDART00000141345.2"	"ENSDARG00000095633"	"smim24"	FALSE
"ENSDART00000141784.2"	"ENSDARG00000038713"	"unknown.6760"	FALSE
"ENSDART00000142342.3"	"ENSDARG00000054290"	"unknown.6773"	FALSE
"ENSDART00000142879.2"	"ENSDARG00000070109"	"ncapg_g1t2"	FALSE
"ENSDART00000142910.3"	"ENSDARG00000062954"	"clk2a_t1"	FALSE
"ENSDART00000144107.2"	"ENSDARG00000095553"	"lenep"	FALSE
"ENSDART00000145177.2"	"ENSDARG00000040557"	"exosc5_t1"	FALSE
"ENSDART00000145637.2"	"ENSDARG00000007271"	"mynn_t2"	TRUE
"ENSDART00000146479.2"	"ENSDARG00000055115"	"dtnbp1a_t1"	FALSE
"ENSDART00000146508.2"	"ENSDARG00000054941"	"ldlrad4b"	FALSE
"ENSDART00000146590.3"	"ENSDARG00000031845"	"MBOAT2"	FALSE
"ENSDART00000147967.2"	"ENSDARG00000110100"	"unknown.6849"	TRUE
"ENSDART00000148681.2"	"ENSDARG00000024276"	"pcbp4_t1"	FALSE
"ENSDART00000148760.2"	"ENSDARG00000007369"	"tcf7l1b_t1"	TRUE
"ENSDART00000149308.2"	"ENSDARG00000002097"	"unknown.6868"	FALSE
"ENSDART00000149351.2"	"ENSDARG00000033662"	"scd"	FALSE
"ENSDART00000149646.3"	"ENSDARG00000013961"	"slc31a1_g1t1"	FALSE
"ENSDART00000150879.2"	"ENSDARG00000112874"	"unknown.6914"	TRUE
"ENSDART00000151043.2"	"ENSDARG00000057986"	"ints8_t2"	FALSE
"ENSDART00000152560.3"	"ENSDARG00000093877"	"unknown.6957"	FALSE
"ENSDART00000152848.2"	"ENSDARG00000095409"	"unknown.6963"	FALSE
"ENSDART00000153223.2"	"ENSDARG00000074150"	"unknown.6972"	FALSE
"ENSDART00000153935.2"	"ENSDARG00000097556"	"cyp8b1.2"	FALSE
"ENSDART00000154843.2"	"ENSDARG00000087102"	"unknown.7006"	FALSE
"ENSDART00000155443.2"	"ENSDARG00000019797"	"qrich1_t1"	FALSE
"ENSDART00000155687.3"	"ENSDARG00000091428"	"FCHSD2"	FALSE
"ENSDART00000155831.2"	"ENSDARG00000061222"	"unknown.7037"	FALSE
"ENSDART00000155954.2"	"ENSDARG00000015263"	"adma"	FALSE
"ENSDART00000156301.3"	"ENSDARG00000075608"	"MICAL2_t2"	FALSE
"ENSDART00000156377.2"	"ENSDARG00000011581"	"unknown.7046"	FALSE
"ENSDART00000156726.2"	"ENSDARG00000036569"	"unknown.7056"	TRUE
"ENSDART00000156954.2"	"ENSDARG00000038442"	"plcg1_t1"	FALSE
"ENSDART00000157203.2"	"ENSDARG00000097797"	"tomm6_t1"	FALSE
"ENSDART00000157345.2"	"ENSDARG00000074698"	"sdsl"	FALSE
"ENSDART00000157710.2"	"ENSDARG00000110323"	"unknown.7087"	TRUE
"ENSDART00000157858.2"	"ENSDARG00000117100"	"gabrz_g1t1"	FALSE
"ENSDART00000157931.2"	"ENSDARG00000103811"	"agla_t1"	FALSE
"ENSDART00000158942.2"	"ENSDARG00000104841"	"JMJD8"	FALSE
"ENSDART00000159069.1"	"ENSDARG00000099564"	"atoh1b"	TRUE
"ENSDART00000159236.2"	"ENSDARG00000101526"	"si:dkey-82o10.4_t1"	FALSE
"ENSDART00000160110.3"	"ENSDARG00000101407"	"tgm1l4"	FALSE
"ENSDART00000160503.2"	"ENSDARG00000102612"	"slc15a4"	FALSE
"ENSDART00000161485.2"	"ENSDARG00000076120"	"foxp4_t1"	TRUE
"ENSDART00000161514.2"	"ENSDARG00000104296"	"fam131ab"	FALSE
"ENSDART00000162089.2"	"ENSDARG00000091624"	"ugt2b6_t1"	FALSE
"ENSDART00000162231.2"	"ENSDARG00000105061"	"unknown.7187"	FALSE
"ENSDART00000162750.2"	"ENSDARG00000101778"	"ca5a_g1t3"	FALSE
"ENSDART00000163147.3"	"ENSDARG00000112102"	"nrros_g2t1"	FALSE
"ENSDART00000163236.2"	"ENSDARG00000101645"	"unknown.7210"	TRUE
"ENSDART00000163536.2"	"ENSDARG00000104914"	"unknown.7218"	FALSE
"ENSDART00000164072.2"	"ENSDARG00000100139"	"unknown.7227"	FALSE
"ENSDART00000164361.2"	"ENSDARG00000104022"	"unknown.7232"	FALSE
"ENSDART00000164652.2"	"ENSDARG00000100290"	"SPHK1"	FALSE
"ENSDART00000165037.2"	"ENSDARG00000104297"	"cartl"	FALSE
"ENSDART00000165091.2"	"ENSDARG00000042114"	"BIN1_t3"	FALSE
"ENSDART00000165760.3"	"ENSDARG00000093608"	"ccl34b.1_g2t1"	FALSE
"ENSDART00000165963.2"	"ENSDARG00000102050"	"MCOLN3_t3"	FALSE
"ENSDART00000165964.2"	"ENSDARG00000098892"	"unknown.7266"	TRUE
"ENSDART00000166081.2"	"ENSDARG00000102608"	"zgc:109986_t1"	FALSE
"ENSDART00000166445.2"	"ENSDARG00000091702"	"unknown.7281"	FALSE
"ENSDART00000166883.2"	"ENSDARG00000027381"	"unknown.7292"	FALSE
"ENSDART00000167209.3"	"ENSDARG00000004447"	"aplnr2"	FALSE
"ENSDART00000167259.2"	"ENSDARG00000098348"	"znf326"	TRUE
"ENSDART00000167399.2"	"ENSDARG00000098791"	"unknown.7301"	FALSE
"ENSDART00000167762.2"	"ENSDARG00000100965"	"EP400_t2"	TRUE
"ENSDART00000167947.2"	"ENSDARG00000098398"	"unknown.7308"	FALSE
"ENSDART00000168579.2"	"ENSDARG00000100700"	"unknown.7322"	FALSE
"ENSDART00000168839.2"	"ENSDARG00000110312"	"cftr_g1t1"	FALSE
"ENSDART00000169577.2"	"ENSDARG00000102119"	"si:ch73-359m17.2_t3"	FALSE
"ENSDART00000169597.3"	"ENSDARG00000103850"	"unknown.7350"	TRUE
"ENSDART00000169881.2"	"ENSDARG00000101693"	"STK19"	FALSE
"ENSDART00000170338.2"	"ENSDARG00000099799"	"unknown.7375"	FALSE
"ENSDART00000170410.2"	"ENSDARG00000059150"	"tmem107"	FALSE
"ENSDART00000170627.2"	"ENSDARG00000101744"	"elavl1b_t3"	FALSE
"ENSDART00000170755.2"	"ENSDARG00000100917"	"SLC30A8_t2"	FALSE
"ENSDART00000171252.2"	"ENSDARG00000102200"	"man2a1"	FALSE
"ENSDART00000171362.2"	"ENSDARG00000103973"	"unknown.7399"	FALSE
"ENSDART00000171459.2"	"ENSDARG00000104811"	"cyp2aa2"	FALSE
"ENSDART00000171819.2"	"ENSDARG00000090190"	"bcam_t1"	FALSE
"ENSDART00000172762.2"	"ENSDARG00000105443"	"unknown.7425"	FALSE
"ENSDART00000172824.2"	"ENSDARG00000078541"	"CERS3_t2"	FALSE
"ENSDART00000174244.2"	"ENSDARG00000105782"	"unknown.7462"	FALSE
"ENSDART00000174793.2"	"ENSDARG00000059294"	"unknown.7467"	FALSE
"ENSDART00000179784.1"	"ENSDARG00000111290"	"ERG28"	FALSE
"ENSDART00000180240.1"	"ENSDARG00000100186"	"clcc1_t1"	FALSE
"ENSDART00000181100.1"	"ENSDARG00000116442"	"TENT5A"	FALSE
"ENSDART00000183459.1"	"ENSDARG00000115860"	"atxn2_g1t2"	FALSE
"ENSDART00000183511.1"	"ENSDARG00000039899"	"unknown.7598"	TRUE
"ENSDART00000183553.1"	"ENSDARG00000115238"	"unknown.7601"	FALSE
"ENSDART00000183564.1"	"ENSDARG00000077022"	"fam131aa"	FALSE
"ENSDART00000183654.1"	"ENSDARG00000087611"	"unknown.7605"	FALSE
"ENSDART00000183713.1"	"ENSDARG00000112324"	"ccl39.3_g2t1"	FALSE
"ENSDART00000184731.1"	"ENSDARG00000116237"	"tmem41ab_g1t1"	FALSE
"ENSDART00000185714.1"	"ENSDARG00000115182"	"unknown.7660"	FALSE
"ENSDART00000186566.1"	"ENSDARG00000109394"	"unknown.7687"	FALSE
"ENSDART00000186759.1"	"ENSDARG00000015156"	"FBLN2_t2"	FALSE
"ENSDART00000187421.1"	"ENSDARG00000115534"	"zgc:77650_g1t1"	FALSE
"ENSDART00000187567.1"	"ENSDARG00000008662"	"fign"	FALSE
"ENSDART00000187576.1"	"ENSDARG00000030129"	"unknown.7724"	FALSE
"ENSDART00000187848.1"	"ENSDARG00000028257"	"CYB561A3"	FALSE
"ENSDART00000188669.1"	"ENSDARG00000115595"	"unknown.7755"	FALSE
"ENSDART00000188829.1"	"ENSDARG00000100804"	"st6galnac4"	FALSE
"ENSDART00000189244.1"	"ENSDARG00000115913"	"fam169aa_g2t1"	FALSE
"ENSDART00000189265.1"	"ENSDARG00000115570"	"cmtm4_g2t1"	FALSE
"ENSDART00000189375.1"	"ENSDARG00000114850"	"unknown.7769"	FALSE
"ENSDART00000190509.1"	"ENSDARG00000103066"	"LSM2_t4"	FALSE
"ENSDART00000190663.1"	"ENSDARG00000099309"	"unknown.7795"	FALSE
"ENSDART00000191295.1"	"ENSDARG00000113998"	"sema3b_g1t2"	FALSE
"ENSDART00000191552.1"	"ENSDARG00000115009"	"unknown.7821"	FALSE
"ENSDART00000191693.1"	"ENSDARG00000116678"	"olig4_g2t1"	TRUE
"ENSDART00000191735.1"	"ENSDARG00000114874"	"unknown.7828"	FALSE
"ENSDART00000193307.1"	"ENSDARG00000115832"	"unknown.7869"	FALSE
"ENSDART00000193901.1"	"ENSDARG00000116334"	"tmem17"	FALSE
